timestamp,version,machine,fixture,lines,median_ms
2026-03-17T22:32:43Z,0.7.0,Apple_M1_Pro_8c,small,21,98.8
2026-03-17T22:32:43Z,0.7.0,Apple_M1_Pro_8c,medium,164,466.8
2026-03-17T22:32:43Z,0.7.0,Apple_M1_Pro_8c,large,439,915.3
2026-03-17T22:32:43Z,0.7.0,Apple_M1_Pro_8c,stress,561,1084.2
2026-03-17T22:37:47Z,0.8.0,Apple_M1_Pro_8c,small,21,100.3
2026-03-17T22:37:47Z,0.8.0,Apple_M1_Pro_8c,medium,164,474.8
2026-03-17T22:37:47Z,0.8.0,Apple_M1_Pro_8c,large,439,989.7
2026-03-17T22:37:47Z,0.8.0,Apple_M1_Pro_8c,stress,561,1064.1
2026-03-17T22:53:19Z,0.9.0,Apple_M1_Pro_8c,small,21,102.8
2026-03-17T22:53:19Z,0.9.0,Apple_M1_Pro_8c,medium,164,502.4
2026-03-17T22:53:19Z,0.9.0,Apple_M1_Pro_8c,large,439,973.9
2026-03-17T22:53:19Z,0.9.0,Apple_M1_Pro_8c,stress,561,1100.5
2026-03-17T23:41:17Z,0.10.0,Apple_M1_Pro_8c,small,21,22.3
2026-03-17T23:41:17Z,0.10.0,Apple_M1_Pro_8c,medium,164,52.0
2026-03-17T23:41:17Z,0.10.0,Apple_M1_Pro_8c,large,439,95.1
2026-03-17T23:41:17Z,0.10.0,Apple_M1_Pro_8c,stress,561,121.6
2026-03-18T10:58:48Z,0.11.0,Apple_M1_Pro_8c,small,21,21.2
2026-03-18T10:58:48Z,0.11.0,Apple_M1_Pro_8c,medium,164,46.6
2026-03-18T10:58:48Z,0.11.0,Apple_M1_Pro_8c,large,439,98.3
2026-03-18T10:58:48Z,0.11.0,Apple_M1_Pro_8c,stress,561,111.8
2026-03-18T12:25:49Z,0.12.0,Apple_M1_Pro_8c,small,21,23.3
2026-03-18T12:25:49Z,0.12.0,Apple_M1_Pro_8c,medium,164,52.0
2026-03-18T12:25:49Z,0.12.0,Apple_M1_Pro_8c,large,439,103.3
2026-03-18T12:25:49Z,0.12.0,Apple_M1_Pro_8c,stress,561,118.9
2026-03-19T23:13:36Z,0.13.0,Apple_M1_Pro_8c,small,21,20.1
2026-03-19T23:13:36Z,0.13.0,Apple_M1_Pro_8c,medium,164,46.9
2026-03-19T23:13:36Z,0.13.0,Apple_M1_Pro_8c,large,439,99.2
2026-03-19T23:13:36Z,0.13.0,Apple_M1_Pro_8c,stress,561,110.2
2026-03-19T23:19:15Z,0.14.0,Apple_M1_Pro_8c,small,21,20.3
2026-03-19T23:19:15Z,0.14.0,Apple_M1_Pro_8c,medium,164,46.6
2026-03-19T23:19:15Z,0.14.0,Apple_M1_Pro_8c,large,439,99.6
2026-03-19T23:19:15Z,0.14.0,Apple_M1_Pro_8c,stress,561,110.5
2026-03-20T19:19:54Z,0.15.0,Apple_M1_Pro_8c,small,21,22.9
2026-03-20T19:19:54Z,0.15.0,Apple_M1_Pro_8c,medium,164,51.3
2026-03-20T19:19:54Z,0.15.0,Apple_M1_Pro_8c,large,439,102.8
2026-03-20T19:19:54Z,0.15.0,Apple_M1_Pro_8c,stress,561,114.1
2026-03-20T20:56:57Z,0.16.0,Apple_M1_Pro_8c,small,21,21.6
2026-03-20T20:56:57Z,0.16.0,Apple_M1_Pro_8c,medium,164,51.7
2026-03-20T20:56:57Z,0.16.0,Apple_M1_Pro_8c,large,439,107.7
2026-03-20T20:56:57Z,0.16.0,Apple_M1_Pro_8c,stress,561,119.3
2026-03-21T22:12:32Z,0.17.0,Apple_M1_Pro_8c,small,21,21.4
2026-03-21T22:12:32Z,0.17.0,Apple_M1_Pro_8c,medium,164,48.7
2026-03-21T22:12:32Z,0.17.0,Apple_M1_Pro_8c,large,439,102.5
2026-03-21T22:12:32Z,0.17.0,Apple_M1_Pro_8c,stress,561,113.8
2026-03-21T22:56:54Z,0.17.1,Apple_M1_Pro_8c,small,21,21.2
2026-03-21T22:56:54Z,0.17.1,Apple_M1_Pro_8c,medium,164,48.6
2026-03-21T22:56:54Z,0.17.1,Apple_M1_Pro_8c,large,439,102.2
2026-03-21T22:56:54Z,0.17.1,Apple_M1_Pro_8c,stress,561,113.2
2026-03-22T10:27:55Z,0.17.2,Apple_M1_Pro_8c,small,21,20.6
2026-03-22T10:27:55Z,0.17.2,Apple_M1_Pro_8c,medium,164,47.9
2026-03-22T10:27:55Z,0.17.2,Apple_M1_Pro_8c,large,439,101.8
2026-03-22T10:27:55Z,0.17.2,Apple_M1_Pro_8c,stress,561,114.6
2026-03-22T11:04:41Z,0.18.0,Apple_M1_Pro_8c,small,21,21.3
2026-03-22T11:04:41Z,0.18.0,Apple_M1_Pro_8c,medium,164,51.5
2026-03-22T11:04:41Z,0.18.0,Apple_M1_Pro_8c,large,439,104.6
2026-03-22T11:04:41Z,0.18.0,Apple_M1_Pro_8c,stress,561,114.7
2026-03-22T11:29:12Z,0.18.1,Apple_M1_Pro_8c,small,21,21.0
2026-03-22T11:29:12Z,0.18.1,Apple_M1_Pro_8c,medium,164,48.4
2026-03-22T11:29:12Z,0.18.1,Apple_M1_Pro_8c,large,439,102.5
2026-03-22T11:29:12Z,0.18.1,Apple_M1_Pro_8c,stress,561,113.9
2026-03-22T11:46:28Z,0.18.2,Apple_M1_Pro_8c,small,21,21.6
2026-03-22T11:46:28Z,0.18.2,Apple_M1_Pro_8c,medium,164,48.0
2026-03-22T11:46:28Z,0.18.2,Apple_M1_Pro_8c,large,439,102.9
2026-03-22T11:46:28Z,0.18.2,Apple_M1_Pro_8c,stress,561,115.7
2026-03-22T18:41:30Z,0.18.3,Apple_M1_Pro_8c,small,21,21.0
2026-03-22T18:41:30Z,0.18.3,Apple_M1_Pro_8c,medium,164,48.1
2026-03-22T18:41:30Z,0.18.3,Apple_M1_Pro_8c,large,439,102.5
2026-03-22T18:41:30Z,0.18.3,Apple_M1_Pro_8c,stress,561,113.5
2026-03-22T21:57:41Z,0.18.4,Apple_M1_Pro_8c,small,21,21.3
2026-03-22T21:57:41Z,0.18.4,Apple_M1_Pro_8c,medium,164,50.0
2026-03-22T21:57:41Z,0.18.4,Apple_M1_Pro_8c,large,439,101.8
2026-03-22T21:57:41Z,0.18.4,Apple_M1_Pro_8c,stress,561,113.4
2026-03-22T22:16:45Z,0.18.5,Apple_M1_Pro_8c,small,21,22.7
2026-03-22T22:16:45Z,0.18.5,Apple_M1_Pro_8c,medium,164,48.9
2026-03-22T22:16:45Z,0.18.5,Apple_M1_Pro_8c,large,439,104.1
2026-03-22T22:16:45Z,0.18.5,Apple_M1_Pro_8c,stress,561,114.9
2026-03-23T21:26:35Z,0.19.0,Apple_M1_Pro_8c,small,21,23.1
2026-03-23T21:26:35Z,0.19.0,Apple_M1_Pro_8c,medium,164,50.0
2026-03-23T21:26:35Z,0.19.0,Apple_M1_Pro_8c,large,439,102.6
